Thierry Breton (Commissioner),TUI AG
Gaelle Garnier,AMADEUS IT GROUP S.A.
Thierry Breton (Commissioner),AMADEUS IT GROUP S.A.
Roland Sourd,Norwegian Refugee Council Europe
Kim-Tobias Eling,Norwegian Refugee Council Europe
Roland Sourd,Médecins Sans Frontières International
Kim-Tobias Eling,Médecins Sans Frontières International
Sarah Nelen,Ørsted A/S
Stefano Grassi,Green 10
Laure Chapuis-Kombos,Green 10
Kadri Simson (Commissioner),Green 10
Valdis Dombrovskis (Executive Vice-President),BUSINESSEUROPE
Paolo Gentiloni (Commissioner),Bpifrance
Nicolas Schmit (Commissioner),EUROPEAN TRADE UNION CONFEDERATION
Fabien Dell,EUROPEAN TRADE UNION CONFEDERATION
Anouk Faber,EUROPEAN TRADE UNION CONFEDERATION
Ana Carla  Pereira,EUROPEAN TRADE UNION CONFEDERATION
Santina Bertulessi,EUROPEAN TRADE UNION CONFEDERATION
Antoine Kasel,EUROPEAN TRADE UNION CONFEDERATION
Dara Murphy,Bpifrance
Vasco Ferreira,Bpifrance
Valdis Dombrovskis (Executive Vice-President),World Economic Forum
Sarah Nelen,Verband Deutscher Maschinen- und Anlagenbau e.V.
Fabrice Comptour,ASD-Eurospace
Thierry Breton (Commissioner),ASD-Eurospace
Fabrice Comptour,DASSAULT AVIATION
Thierry Breton (Commissioner),DASSAULT AVIATION
Fabrice Comptour,Indra
Thierry Breton (Commissioner),Indra
Fabrice Comptour,SAFRAN
Thierry Breton (Commissioner),SAFRAN
Fabrice Comptour,HENSOLDT AG
Thierry Breton (Commissioner),HENSOLDT AG
Fabrice Comptour,MBDA
Thierry Breton (Commissioner),MBDA
Fabrice Comptour,Leonardo S.p.A.
Thierry Breton (Commissioner),Leonardo S.p.A.
Fabrice Comptour,Airbus
Thierry Breton (Commissioner),Airbus
Thierry Breton (Commissioner),Bpifrance
Catherine Geslain-Lanéelle,Euro Foie Gras
Catherine Geslain-Lanéelle,Aliénor
Adam Romanowski,Northvolt
Anthony Whelan,Association des Constructeurs Européens d'Automobiles
Anthony Whelan,European Association Automotive Suppliers
Daniel Mes,European Metropolitan Transport Authorities
Daniel Mes,POLIS
Valere Moutarlier,Fédération Internationale de Motocyclisme
Lucia Caudet,Fédération Internationale de Motocyclisme
Valere Moutarlier,Association des Constructeurs Européens de Motocycles
Lucia Caudet,Association des Constructeurs Européens de Motocycles
Cristina Rueda Catry,WindEurope
Jorge Pinto Antunes,KDC Conseil SPRL
Jorge Pinto Antunes,TEREOS
Diederik Samsom,European Association of Long-Term Investors
Catherine Geslain-Lanéelle,CropLife Europe
Catherine Geslain-Lanéelle,European farmers
Catherine Geslain-Lanéelle,European agri-cooperatives
Catherine Geslain-Lanéelle,European farmers
Catherine Geslain-Lanéelle,European agri-cooperatives
Thierry Breton (Commissioner),MedTech Europe
Thierry Breton (Commissioner),European Federation of Pharmaceutical Industries and Associations
Thierry Breton (Commissioner),Association of the European Self-Care Industry
Thierry Breton (Commissioner),MEDICINES FOR EUROPE
Thierry Breton (Commissioner),Vaccines Europe
Thierry Breton (Commissioner),European Coordination Committee of the Radiological, Electromedical and healthcare IT Industry
Aleksandra Tomczak,Forum Atomique Européen
Chiara Salvelli,The European House - Ambrosetti
Kurt Vandenberghe,Bill & Melinda Gates Foundation
Stella Kyriakides (Commissioner),Vaccines Europe
Stella Kyriakides (Commissioner),MEDICINES FOR EUROPE
Stella Kyriakides (Commissioner),European Coordination Committee of the Radiological, Electromedical and healthcare IT Industry
Stella Kyriakides (Commissioner),MedTech Europe
Stella Kyriakides (Commissioner),Association of the European Self-Care Industry
Stella Kyriakides (Commissioner),European Federation of Pharmaceutical Industries and Associations
Marie Frenay,European Federation of Journalists
Věra Jourová (Vice-President),European Federation of Journalists
Simona Constantin,European Federation of Journalists
Kim-Tobias Eling,Médecins Sans Frontières International
Wojtek Talko,LinkedIn Ireland
Věra Jourová (Vice-President),LinkedIn Ireland
Renate Nikolay,LinkedIn Ireland
Eduard Hulicius,LinkedIn Ireland
Daniel Braun,LinkedIn Ireland
Monika Ladmanova,LinkedIn Ireland
Simona Constantin,LinkedIn Ireland
Kevin O'Connell,LinkedIn Ireland
Marie Frenay,LinkedIn Ireland
Wojtek Talko,Mozilla Corporation
Věra Jourová (Vice-President),Mozilla Corporation
Renate Nikolay,Mozilla Corporation
Eduard Hulicius,Mozilla Corporation
Daniel Braun,Mozilla Corporation
Monika Ladmanova,Mozilla Corporation
Simona Constantin,Mozilla Corporation
Kevin O'Connell,Mozilla Corporation
Marie Frenay,Mozilla Corporation
Wojtek Talko,Google
Věra Jourová (Vice-President),Google
Renate Nikolay,Google
Eduard Hulicius,Google
Daniel Braun,Google
Monika Ladmanova,Google
Simona Constantin,Google
Kevin O'Connell,Google
Marie Frenay,Google
Wojtek Talko,Microsoft Corporation
Věra Jourová (Vice-President),Microsoft Corporation
Renate Nikolay,Microsoft Corporation
Eduard Hulicius,Microsoft Corporation
Daniel Braun,Microsoft Corporation
Monika Ladmanova,Microsoft Corporation
Simona Constantin,Microsoft Corporation
Kevin O'Connell,Microsoft Corporation
Marie Frenay,Microsoft Corporation
Wojtek Talko,Twitter International Unlimited Company
Věra Jourová (Vice-President),Twitter International Unlimited Company
Renate Nikolay,Twitter International Unlimited Company
Eduard Hulicius,Twitter International Unlimited Company
Daniel Braun,Twitter International Unlimited Company
Monika Ladmanova,Twitter International Unlimited Company
Simona Constantin,Twitter International Unlimited Company
Kevin O'Connell,Twitter International Unlimited Company
Marie Frenay,Twitter International Unlimited Company
Wojtek Talko,DOT Europe
Věra Jourová (Vice-President),DOT Europe
Renate Nikolay,DOT Europe
Eduard Hulicius,DOT Europe
Daniel Braun,DOT Europe
Monika Ladmanova,DOT Europe
Simona Constantin,DOT Europe
Kevin O'Connell,DOT Europe
Marie Frenay,DOT Europe
Wojtek Talko,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Věra Jourová (Vice-President),Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Renate Nikolay,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Eduard Hulicius,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Daniel Braun,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Monika Ladmanova,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Simona Constantin,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Kevin O'Connell,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Marie Frenay,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Alejandro Cainzos,Palo Alto Networks Inc.
Catherine Geslain-Lanéelle,Deutscher Bauernverband
Diana Montero Melis,World Vision Brussels & EU Representation ivzw/aisbl
Diana Montero Melis,WWF European Policy Programme
Diana Montero Melis,ACT Alliance Advocacy to the European Union
Diana Montero Melis,Conservation International Europe
Diana Montero Melis,CARE International Aisbl
Diana Montero Melis,ActionAid
Diana Montero Melis,Fern
Diana Montero Melis,Climate Action Network Europe
Diana Montero Melis,International Fund for Animal Welfare
Diana Montero Melis,OXFAM INTERNATIONAL EU ADVOCACY OFFICE
Margrethe Vestager (Executive Vice-President),Banco Santander, S.A.
Paolo Gentiloni (Commissioner),Banco Santander, S.A.
Aleksandra Tomczak,Third Generation Environmentalism Ltd
Riccardo Maggi,Third Generation Environmentalism Ltd
Thierry Breton (Commissioner),European Round Table for Industry
Fabrice Comptour,European Round Table for Industry
Thierry Breton (Commissioner),Association des Constructeurs Européens d'Automobiles
Lucia Caudet,Association des Constructeurs Européens d'Automobiles
Thierry Breton (Commissioner),European Association Automotive Suppliers
Lucia Caudet,European Association Automotive Suppliers
Isabelle Perignon,Car-Pass asbl
Daniel Braun,Seznam.cz, a.s.
Marie Frenay,Seznam.cz, a.s.
Marie Frenay,Allied for Startups asbl
Daniel Braun,Allied for Startups asbl
Frans Timmermans (Executive Vice-President),Global Green Growth Institute
Kevin Keary,Flint Europe
Walter Goetz,Deutsche Bahn AG
Michele Piergiovanni,BVI Bundesverband Investment und Asset Management e.V.
Yizhou Ren,BVI Bundesverband Investment und Asset Management e.V.
Helena Braun,SUEZ Group
Helena Braun,The Club of Rome
Thierry Breton (Commissioner),ResMed
Thierry Breton (Commissioner),FUNDACIÓN CLUSTER DE EMPRESAS DE AUTOMOCIÓN DE GALICIA
Thierry Breton (Commissioner),Medtronic
Thierry Breton (Commissioner),Vyaire Medical
Thierry Breton (Commissioner),General Electric Company
Thierry Breton (Commissioner),thyssenkrupp Steel Europe AG
Thierry Breton (Commissioner),Bayerische Motoren Werke Aktiengesellschaft
Thierry Breton (Commissioner),Mercedes-Benz Group AG
Thierry Breton (Commissioner),Airbus
Thierry Breton (Commissioner),Leonardo S.p.A.
Thierry Breton (Commissioner),MONDRAGON CORPORACION COOPERATIVA S. COOP
Thierry Breton (Commissioner),Koninklijke Philips
Thierry Breton (Commissioner),Smiths Group plc
Thierry Breton (Commissioner),Siemens AG
Thierry Breton (Commissioner),Saab AB
Thierry Breton (Commissioner),SAFRAN
Ursula von der Leyen (President),ResMed
Ursula von der Leyen (President),Mercedes-Benz Group AG
Ursula von der Leyen (President),SAFRAN
Ursula von der Leyen (President),Medtronic
Ursula von der Leyen (President),Saab AB
Ursula von der Leyen (President),Siemens AG
Ursula von der Leyen (President),Leonardo S.p.A.
Ursula von der Leyen (President),FUNDACIÓN CLUSTER DE EMPRESAS DE AUTOMOCIÓN DE GALICIA
Ursula von der Leyen (President),Airbus
Ursula von der Leyen (President),General Electric Company
Ursula von der Leyen (President),MONDRAGON CORPORACION COOPERATIVA S. COOP
Ursula von der Leyen (President),thyssenkrupp Steel Europe AG
Ursula von der Leyen (President),Koninklijke Philips
Ursula von der Leyen (President),Vyaire Medical
Ursula von der Leyen (President),Smiths Group plc
Ursula von der Leyen (President),Bayerische Motoren Werke Aktiengesellschaft
Daniel Mes,International Road Transport Union Permanent Delegation to the EU
Daniel Mes,Association des Constructeurs Européens d'Automobiles
Valeria Miceli,Verband deutscher Pfandbriefbanken e.V.
Kim-Tobias Eling,Norwegian Refugee Council Europe
Lukas Visek,Indigo Agriculture Europe GmbH
Helena Braun,Indigo Agriculture Europe GmbH
Astrid Dentler,Active Assisted Living Programme
Diederik Samsom,Rud Pedersen Public Affairs Brussels
Diederik Samsom,EPIA SolarPower Europe
Kim-Tobias Eling,CARE International Aisbl
Kurt Vandenberghe,University College London
Daniel Braun,Disinformation Index Ltd
Kadri Simson (Commissioner),Equinor ASA
Kitti Nyitrai,Equinor ASA
Peeter Kadarik,Equinor ASA
Kim-Tobias Eling,European Federation of Public Service Unions
Kim-Tobias Eling,Médecins Sans Frontières International
Thierry Breton (Commissioner),MedTech Europe
Thierry Breton (Commissioner),Association of the European Self-Care Industry
Thierry Breton (Commissioner),European Federation of Pharmaceutical Industries and Associations
Thierry Breton (Commissioner),Vaccines Europe
Thierry Breton (Commissioner),MEDICINES FOR EUROPE
Stella Kyriakides (Commissioner),MedTech Europe
Stella Kyriakides (Commissioner),European Federation of Pharmaceutical Industries and Associations
Stella Kyriakides (Commissioner),Association of the European Self-Care Industry
Stella Kyriakides (Commissioner),Vaccines Europe
Stella Kyriakides (Commissioner),MEDICINES FOR EUROPE
Diederik Samsom,The European Environment and Sustainable Development Advisory Councils Network
Thierry Breton (Commissioner),The Walt Disney Company Benelux BVBA
Filomena Chirico,The Walt Disney Company Benelux BVBA
Mattia De Grassi,METROPOLE EUROPEENNE DE LILLE
Stefanie Hiesinger,Avaaz Foundation
Damyana Stoynova,Avaaz Foundation
Thierry Breton (Commissioner),Google
Filomena Chirico,Google
Thierry Breton (Commissioner),Netflix International B.V.
Filomena Chirico,Netflix International B.V.
Johannes Hahn (Commissioner),European Association of Research and Technology Organisations
Kurt Vandenberghe,VedvarendeEnergi
Margrethe Vestager (Executive Vice-President),HERE Technologies
Maria Koleva,Nestlé S.A.
Vasco Ferreira,Nestlé S.A.
Vasco Ferreira,EDANA AISBL
Ana Carla  Pereira,SMEunited aisbl
Nicolas Schmit (Commissioner),SMEunited aisbl
Ana Carla  Pereira,BUSINESSEUROPE
Nicolas Schmit (Commissioner),BUSINESSEUROPE
Ana Carla  Pereira,SGI Europe
Nicolas Schmit (Commissioner),SGI Europe
Ana Carla  Pereira,EUROPEAN TRADE UNION CONFEDERATION
Nicolas Schmit (Commissioner),EUROPEAN TRADE UNION CONFEDERATION
Thierry Breton (Commissioner),H & M Hennes & Mauritz AB
Helena Dalli (Commissioner),Open Society European Policy Institute
Helena Dalli (Commissioner),EUROPEAN TRADE UNION CONFEDERATION
Jorge Pinto Antunes,Institut national de recherche pour l’agriculture, l’alimentation et l’environnement
Roxana Lesovici,CLECAT - European association for forwarding, transport, logistic and Customs services
Gaëlle Michelier,Lilium GmbH
Roxana Lesovici,International Association of Classification Societies Ltd.
Lesia Radelicki,The Kvinna till Kvinna Foundation
Guglielmo Di Cola,Goethe-Institut e.V.
Kim-Tobias Eling,Norwegian Refugee Council Europe
Anthony Whelan,EUROPE'S MEDIALAB (Fondation EURACTIV)
Anthony Whelan,Henkel AG & Co. KGaA
Anthony Whelan,OLX Global BV
Mariya Gabriel (Commissioner),CureVac AG
Stefanie Hiesinger,Climate Action Network Europe
Damyana Stoynova,Climate Action Network Europe
Damyana Stoynova,IBERDROLA
Ursula von der Leyen (President),CureVac AG
Gaëlle Michelier,International Air Transport Association
Adina-Ioana Vălean (Commissioner),International Air Transport Association
Santina Bertulessi,Eurochild AISBL
Santina Bertulessi,Save the Children Europe
Daniel Mes,Telefonica, S.A.
Stella Kyriakides (Commissioner),Vaccines Europe
Stella Kyriakides (Commissioner),MedTech Europe
Stella Kyriakides (Commissioner),MEDICINES FOR EUROPE
Stella Kyriakides (Commissioner),European Federation of Pharmaceutical Industries and Associations
Stella Kyriakides (Commissioner),Association of the European Self-Care Industry
Margrethe Vestager (Executive Vice-President),Københavns Universitet
Lukas Visek,Stichting BirdLife Europe
Lukas Visek,BeeLife European Beekeeping Coordination
Lukas Visek,Buglife - The Invertebrate Conservation Trust
Lukas Visek,Butterfly Conservation Europe
Arto Virtanen,Overseas Countries and Territories Association
Maria Koleva,SOS Save Our Spectrum
Szabolcs Horvath,European Peacebuilding Liaison Office
Elzbieta Lukaniuk,International Road Transport Union Permanent Delegation to the EU
Eduard Hulicius,European Movement International
Diederik Samsom,GMB trade union
Ylva Johansson (Commissioner),Médecins du monde Belgique
Brian Synnott,Médecins du monde Belgique
Alexandra Cupsan-Catalin,Médecins du monde Belgique
Ylva Johansson (Commissioner),The Smile of the Child
Brian Synnott,The Smile of the Child
Alexandra Cupsan-Catalin,The Smile of the Child
Ylva Johansson (Commissioner),Médecins Sans Frontières International
Brian Synnott,Médecins Sans Frontières International
Alexandra Cupsan-Catalin,Médecins Sans Frontières International
Ylva Johansson (Commissioner),GREEK FORUM OF REFUGEES
Brian Synnott,GREEK FORUM OF REFUGEES
Alexandra Cupsan-Catalin,GREEK FORUM OF REFUGEES
Ylva Johansson (Commissioner),Danish Refugee Council Brussels
Brian Synnott,Danish Refugee Council Brussels
Alexandra Cupsan-Catalin,Danish Refugee Council Brussels
Thor-Sten Vertmann,smartEn Smart Energy Europe
Kevin Keary,The Pew Charitable Trusts
Aleksandra Tomczak,PGE Polska Grupa Energetyczna SA
Alina-Stefania Ujupan,European Hospital and Healthcare Federation
Thierry Breton (Commissioner),BUSINESSEUROPE
Carole Mancel-Blanchard,Forum Européen pour la Sécurité Urbaine
Maria-Myrto Kanellopoulou,European Jewish Congress
Kurt Vandenberghe,PepsiCo
Tom Tynan,National Farmers Union
Catherine Geslain-Lanéelle,ACT Alliance Advocacy to the European Union
Simona Pinzariu,ACT Alliance Advocacy to the European Union
Filip Alexandru Negreanu Arboreanu,Auto Care Association
Iris Abraham,Hope and Homes for Children
Thierry Breton (Commissioner),3M
Thierry Breton (Commissioner),Honeywell Europe NV
Baiba Aleksejuka-Tavaresa,Democratization Policy Council
Baiba Aleksejuka-Tavaresa,Foreign Economic Relations Board of Turkey
Antoine Kasel,BUSINESSEUROPE
Catherine Sustek,Lifelong Learning Platform
Francisco Barros Castro,Airholding S.A.
Maria Koleva,American Chamber of Commerce to the European Union
Agnieszka Skonieczna,European Association of Long-Term Investors
Kevin Keary,World Economic Forum
Aleksandra Tomczak,Liquid Gas Europe
Riccardo Maggi,Liquid Gas Europe
Carmen Preising,The Pew Charitable Trusts
Eglantine Cujo,The Pew Charitable Trusts
Ivo Belet,Centre for Fine Arts
Natasha Bertaud,Médecins Sans Frontières International
Elisabetta Siracusa,The European Steel Association
Jorge Pinto Antunes,Pesticide Action Network Europe
Christoph Nerlich,EuroCommerce
Antoine Kasel,EuroCommerce
Lukas Visek,Hume Brophy
Diederik Samsom,Federatie Nederlandse Vakbeweging
Diederik Samsom,McKinsey Global Institute
Diederik Samsom,Stichting Het Nederlands Kanker Instituut - Antoni van Leeuwenhoek ziekenhuis
Valdis Dombrovskis (Executive Vice-President),Platform of European Social NGOs
Vangelis Demiris,Huawei Technologies
Phil Hogan (Commissioner),Irish Congress Trade Unions
Jorge Pinto Antunes,European Environmental Bureau
Jorge Pinto Antunes,Stichting BirdLife Europe
Jorge Pinto Antunes,Greenpeace European Unit
Maria Elena Scoppio,Fédération bancaire française
Valere Moutarlier,Fédération bancaire française
Walter Goetz,EuroCommerce
Valdis Dombrovskis (Executive Vice-President),European Small Business Alliance
Michael Hager,European Small Business Alliance
Ruth Paserman,European Small Business Alliance
Valdis Dombrovskis (Executive Vice-President),BUSINESSEUROPE
Michael Hager,BUSINESSEUROPE
Ruth Paserman,BUSINESSEUROPE
Valdis Dombrovskis (Executive Vice-President),Small and Medium Entrepreneurs of Europe
Michael Hager,Small and Medium Entrepreneurs of Europe
Ruth Paserman,Small and Medium Entrepreneurs of Europe
Valdis Dombrovskis (Executive Vice-President),EUROCHAMBRES – Association of European Chambers of Commerce and Industry
Michael Hager,EUROCHAMBRES – Association of European Chambers of Commerce and Industry
Ruth Paserman,EUROCHAMBRES – Association of European Chambers of Commerce and Industry
Valdis Dombrovskis (Executive Vice-President),Zentralverband des Deutschen Handwerks e.V.
Michael Hager,Zentralverband des Deutschen Handwerks e.V.
Ruth Paserman,Zentralverband des Deutschen Handwerks e.V.
Valdis Dombrovskis (Executive Vice-President),European Family Businesses
Michael Hager,European Family Businesses
Ruth Paserman,European Family Businesses
Valdis Dombrovskis (Executive Vice-President),SMEunited aisbl
Michael Hager,SMEunited aisbl
Ruth Paserman,SMEunited aisbl
Gaëlle Michelier,General Aviation Manufacturers Association
Anthony Whelan,Fédération bancaire française
Phil Hogan (Commissioner),ITI - The Information Technology Industry Council
Marius  Vaščega ,CEMBUREAU - The European Cement Association
Helena Hinto,European Academies' Science Advisory Council
Aleksandra Tomczak,OGP GAZ-SYSTEM S.A.
Aleksandra Tomczak,Deutscher Industrie- und Handelskammertag e. V.
Ivo Belet,Centre européen Robert Schuman
Mette Dyrskjot,Konrad-Adenauer-Stiftung
Cristina Rueda Catry,FoodDrinkEurope
Marlene Madsen,Sustainary
Luc De Lobel,Bulgarian Judges Association
Lukas Visek,Land- en Tuinbouw Organisatie Nederland
Lukas Visek,Fertilizers Europe
Jutta Urpilainen (Commissioner),Kaupan liitto ry - Finnish Commerce Federation
Andrea Beltramello,Verband Öffentlicher Versicherer
Andrea Beltramello,Wirtschaftsrat der CDU e.V.
Nicolas Schmit (Commissioner),Confederation of Finnish Industries EK
Ana Carla  Pereira,Confederation of Finnish Industries EK
Anouk Faber,SMEunited aisbl
Nicolas Schmit (Commissioner),SMEunited aisbl
Andrea Beltramello,Flint Europe
Jérôme Deslandes,Flint Europe
Phil Hogan (Commissioner),ITI - The Information Technology Industry Council
Kim Jorgensen,Think Tank EUROPA
Jérôme Deslandes,Deutsche Bank AG
Jutta Urpilainen (Commissioner),European Disability Forum
Jutta Urpilainen (Commissioner),International Disability and Development Consortium
Riccardo Maggi,Housing Europe
Kadri Simson (Commissioner),BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.
Kitti Nyitrai,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.
Kitti Nyitrai,Lithuanian Confederation of Industrialists
Peeter Kadarik,Lithuanian Confederation of Industrialists
Magdalena Majerczyk,Polski Związek Pszczelarski
Janusz Wojciechowski (Commissioner),Polski Związek Pszczelarski
Marco Piantini,Associazione Bancaria Italiana
Marco Piantini,Confederazione Generale dell'Industria Italiana
Walter Goetz,General Electric Company
Elzbieta Lukaniuk,Lithuanian Confederation of Industrialists
Walter Goetz,Lithuanian Confederation of Industrialists
Maciej Golubiewski,KGHM Polska Miedź Spółka Akcyjna
Elzbieta Lukaniuk,Deutsche Bahn AG
Iris Abraham,Friends of Europe
Giorgios Rossides,Union of European Beverages Association
Panayiotis Pourgourides,Union of European Beverages Association
Karolina Herbout-Borczak,Union of European Beverages Association
Marius  Vaščega ,Union of European Beverages Association
Aleksandra Tomczak,Energiföretagen /  Swedenergy
Aleksandra Tomczak,Finnish Energy - Energiateollisuus ry
Aleksandra Tomczak,Green Power Denmark
Aleksandra Tomczak,Nordenergi
Aleksandra Tomczak,Energi Norge (Energy Norway)
Werner Stengg,FEDIL - The Voice of Luxembourg's Industry
Alina-Stefania Ujupan,Fertilizers Europe
Johannes Hahn (Commissioner),Swiss Finance Council
Daniel Mes,Bureau Européen des Unions de Consommateurs
Carole Mancel-Blanchard,Cámara Oficial de Comercio, Industria, Servicios y Navegación de España
Lukas Visek,European Dairy Association aisbl
Lukas Visek,International Federation of Organic Agriculture Movements EU Regional Group
Lukas Visek,Unilever
Ana Carla  Pereira,Federation of European Social Employers
Valere Moutarlier,Union of European Beverages Association
Gaelle Garnier,Union of European Beverages Association
Jutta Urpilainen (Commissioner),Confederation of Finnish Industries EK
Johannes Hahn (Commissioner),Swiss Federal Railways
Virginijus Sinkevičius (Commissioner),Lithuanian Confederation of Industrialists
Agne Razmislaviciute-Palioniene,Lithuanian Confederation of Industrialists
Marius  Vaščega ,Lithuanian Confederation of Industrialists
Agne Razmislaviciute-Palioniene,International Federation of Organic Agriculture Movements EU Regional Group
Virginijus Sinkevičius (Commissioner),International Federation of Organic Agriculture Movements EU Regional Group
Jorge Pinto Antunes,Friends of the Earth Europe
Jorge Pinto Antunes,Greenpeace European Unit
Jorge Pinto Antunes,Slow Food
Valdis Dombrovskis (Executive Vice-President),Euronext
Andrea Beltramello,Euronext
Jérôme Deslandes,Ernst & Young Core Business Services BV
Sofja Ribkina,Bundesverband der Deutschen Industrie e.V.
Diederik Samsom,Havenbedrijf Rotterdam NV
Francisco Barros Castro,Lumos Foundation
Francisco Barros Castro,Hope and Homes for Children
Thor-Sten Vertmann,General Electric Company
Brian Synnott,Swedish Forest Industries Federation
Alienor Margerit,ArcelorMittal
Tove Ernst,ReAct - Action on Antibiotic Resistance
Annukka Ojala,ReAct - Action on Antibiotic Resistance
Anouk Faber,SONAE
Anouk Faber,NOVE
Anouk Faber,Workday
Anthony Whelan,Vodafone Belgium SA
Magdalena Majerczyk,UNITAB
Janusz Wojciechowski (Commissioner),UNITAB
Anthony Whelan,ERNIEAPP LTD
Helena Hinto,European Public Affairs Consultancies Association
Kitti Nyitrai,Havenbedrijf Rotterdam NV
Helena Hinto,Havenbedrijf Rotterdam NV
Alina-Stefania Ujupan,Forschungszentrum Jülich GmbH
Werner Stengg,American Chamber of Commerce to the European Union
Werner Stengg,Bureau Européen des Unions de Consommateurs
Margrethe Vestager (Executive Vice-President),Bureau Européen des Unions de Consommateurs
Werner Stengg,ESOMAR
Alina-Stefania Ujupan,White Rose University Consortium
Werner Stengg,Workday
Daniel Braun,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Wojtek Talko,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Renate Nikolay,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Věra Jourová (Vice-President),Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Daniel Braun,Twitter International Unlimited Company
Wojtek Talko,Twitter International Unlimited Company
Renate Nikolay,Twitter International Unlimited Company
Věra Jourová (Vice-President),Twitter International Unlimited Company
Daniel Braun,Microsoft Corporation
Wojtek Talko,Microsoft Corporation
Renate Nikolay,Microsoft Corporation
Věra Jourová (Vice-President),Microsoft Corporation
Daniel Braun,Google
Wojtek Talko,Google
Renate Nikolay,Google
Věra Jourová (Vice-President),Google
Věra Jourová (Vice-President),EuroCommerce
Daniel Braun,EuroCommerce
Frans Timmermans (Executive Vice-President),ASN Bank
Frans Timmermans (Executive Vice-President),MVO Nederland
Frans Timmermans (Executive Vice-President),Stichting IUCN Nederlands Comité
Frans Timmermans (Executive Vice-President),Essent N.V.
Frans Timmermans (Executive Vice-President),Tarkett
Frans Timmermans (Executive Vice-President),Greenchoice
Frans Timmermans (Executive Vice-President),Dekker Hout B.V.
Frans Timmermans (Executive Vice-President),Stichting Goed Hout & Goed Papier!
Frans Timmermans (Executive Vice-President),Food Transition Coalition of The Netherlands
Isabelle Perignon,Academy of European Law
Didier Reynders (Commissioner),Academy of European Law
Nicolas Schmit (Commissioner),Europäisches Zentrum für Arbeitnehmerfragen
Antoine Kasel,Europäisches Zentrum für Arbeitnehmerfragen
Lucrezia Busa,ITI - The Information Technology Industry Council
Didier Reynders (Commissioner),ITI - The Information Technology Industry Council
Maria Koleva,Cancer Research UK
Jérôme Deslandes,Banco Santander, S.A.
Diederik Samsom,EPIA SolarPower Europe
Diederik Samsom,Holcim Ltd
Daniel Mes,UNIFE
Alienor Margerit,Finance Denmark
Christiane Kirketerp De Viron,Orgalim – Europe's Technology Industries
Sandra Bartelt,Siemens Healthineers AG
Pauline Weinzierl,Deutscher Industrie- und Handelskammertag e. V.
Alienor Margerit,Invest Europe
Adam Romanowski,Umicore
Walter Goetz,Bundesverband der Deutschen Luftverkehrswirtschaft e. V.
Andrea Beltramello,SMEunited aisbl
Anthony Whelan,WIK Wissenschaftliches Institut GmbH
Tom Tynan,Dairy UK
Anthony Whelan,Technology Industries of Finland (Teknologiateollisuus ry)
Anthony Whelan,KONE Corporation
Ylva Johansson (Commissioner),SMEunited aisbl
Alexandra Cupsan-Catalin,SMEunited aisbl
Raul Hernandez Sagrera,SMEunited aisbl
Ylva Johansson (Commissioner),EUROCHAMBRES – Association of European Chambers of Commerce and Industry
Alexandra Cupsan-Catalin,EUROCHAMBRES – Association of European Chambers of Commerce and Industry
Raul Hernandez Sagrera,EUROCHAMBRES – Association of European Chambers of Commerce and Industry
Ylva Johansson (Commissioner),EUROPEAN TRADE UNION CONFEDERATION
Alexandra Cupsan-Catalin,EUROPEAN TRADE UNION CONFEDERATION
Raul Hernandez Sagrera,EUROPEAN TRADE UNION CONFEDERATION
Ylva Johansson (Commissioner),BUSINESSEUROPE
Alexandra Cupsan-Catalin,BUSINESSEUROPE
Raul Hernandez Sagrera,BUSINESSEUROPE
Ylva Johansson (Commissioner),SGI Europe
Alexandra Cupsan-Catalin,SGI Europe
Raul Hernandez Sagrera,SGI Europe
Anthony Whelan,F-Secure Corporation
Agnieszka Drzewoska,Technology Industries of Finland (Teknologiateollisuus ry)
Anthony Agotha,Konrad-Adenauer-Stiftung
Aleksandra Tomczak,Konrad-Adenauer-Stiftung
Werner Stengg,EUROPEAN HOTEL FORUM
Alejandro Cainzos,MARSH & McLENNAN COMPANIES FRANCE
Didier Reynders (Commissioner),European Organisation of Prison and Correctional Services
Isabelle Perignon,European Organisation of Prison and Correctional Services
